Batsman,Dismissal,Runs,Balls,4s,6s,SR,
Brandon King,b Lungi Ngidi,72,72,11,1,100.00
K Mayers,c Lungi Ngidi b Marco Jansen,14,22,1,1,63.64
Shamarh Brooks,run out (Markram/Rickelton),18,24,2,0,75.00
Shai Hope (c & wk),c Miller b Fortuin,16,27,1,0,59.26
Pooran,c Lungi Ngidi b Marco Jansen,39,41,1,3,95.12
Rovman Powell,st Rickelton b Fortuin,2,3,0,0,66.67
Holder,st Rickelton b Markram,36,43,3,0,83.72
Y Cariah,c Rickelton b Gerald Coetzee,6,15,0,0,40.00
Akeal Hosein,c Lungi Ngidi b Gerald Coetzee,14,23,1,0,60.87
Odean Smith,b Parnell,17,17,3,0,100.00
Alzarri Joseph,not out,1,3,0,0,33.33
Extras,25,"(b 0, lb 10, w 15, nb 0, p 0)"
Total,260,"(10 wkts, 48.2 Ov)"
Lungi Ngidi,6,0,45,1,0,0,7.50
Parnell,5.2,1,30,1,0,3,5.60
Marco Jansen,9,0,46,2,0,4,5.10
Fortuin,8,0,46,2,0,0,5.80
Gerald Coetzee,10,0,53,2,0,7,5.30
Markram (c),10,0,30,1,0,1,3.00
